epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,310.379,1.29974,2.36281,2.42204,1.42534,0.31644,0.52381,0.22578,0.09724,0.0164,0.04762,0.00393,0.00065,1.61848,7.10069,3.08324,2.06701,0.00126896,0.00126896,0.00126896
31,320.402,1.62108,3.21087,2.85554,1.52183,0.2331,0.47619,0.2003,0.09345,0.02331,0.04762,0.00305,0.00071,1.49834,6.82871,3.47954,1.85442,0.00129352,0.00129352,0.00129352
32,330.309,1.14373,2.72944,2.16481,1.39006,0.16774,0.33596,0.14757,0.06957,0.01328,0.04762,0.00149,0.00015,1.67571,8.54572,3.92247,2.15406,0.00131689,0.00131689,0.00131689
33,340.338,1.28051,2.57147,2.43534,1.45287,0.16774,0.33596,0.14757,0.06957,0.01328,0.04762,0.00149,0.00015,1.67571,8.54572,3.92247,2.15406,0.00133907,0.00133907,0.00133907
34,350.353,1.56205,2.89852,4.27788,1.53157,0.26413,0.33333,0.18883,0.09096,0.00883,0.09524,0.00178,0.0002,1.66696,9.79138,4.58379,2.27639,0.0013466,0.0013466,0.0013466
35,360.314,1.23699,2.43832,2.25147,1.36146,0.26048,0.42857,0.20993,0.10099,0.08374,0.04762,0.00686,0.00119,1.68789,7.64894,3.50421,2.30122,0.0013268,0.0013268,0.0013268
36,370.455,1.29081,2.39917,2.06554,1.40697,0.30125,0.66667,0.2667,0.12119,0.06548,0.04762,0.00955,0.00228,1.68892,6.74619,3.26033,2.33334,0.001307,0.001307,0.001307
37,380.834,1.27524,2.55666,2.04941,1.37561,0.30125,0.66667,0.2667,0.12119,0.06548,0.04762,0.00955,0.00228,1.68892,6.74619,3.26033,2.33334,0.0012872,0.0012872,0.0012872
38,390.772,1.15593,2.39063,2.26065,1.36519,0.23331,0.47619,0.24585,0.12127,0.01531,0.09524,0.00268,0.00059,1.50796,7.78847,3.4135,2.10247,0.0012674,0.0012674,0.0012674
39,400.7,1.24961,2.82433,2.52051,1.46958,0.29713,0.42857,0.22832,0.12005,0.02397,0.19048,0.007,0.00114,1.43089,8.16165,3.49318,1.8984,0.0012476,0.0012476,0.0012476
40,410.705,1.17021,2.48257,1.89896,1.31904,0.22505,0.38095,0.22002,0.11891,0.01852,0.19048,0.00455,0.00086,1.45073,8.39619,3.69323,1.9809,0.0012278,0.0012278,0.0012278
41,420.671,1.22252,2.54924,1.92589,1.34079,0.22505,0.38095,0.22002,0.11891,0.01852,0.19048,0.00455,0.00086,1.45073,8.39619,3.69323,1.9809,0.001208,0.001208,0.001208
42,430.616,1.26774,2.57674,2.28952,1.39182,0.28646,0.38095,0.2195,0.10953,0.014,0.14286,0.00545,0.00086,1.4859,7.11298,3.89177,2.02082,0.0011882,0.0011882,0.0011882
43,440.805,1.22333,2.21343,1.82396,1.36174,0.37643,0.28571,0.2439,0.1436,0.04799,0.14286,0.01457,0.00251,1.41166,5.5258,3.56051,1.73655,0.0011684,0.0011684,0.0011684
44,450.825,1.32671,2.73775,2.22545,1.387,0.21168,0.33333,0.21457,0.10189,0.09308,0.04762,0.01745,0.00337,1.6186,4.8523,4.05735,1.87371,0.0011486,0.0011486,0.0011486
45,460.866,1.18836,2.21479,2.39492,1.24113,0.21168,0.33333,0.21457,0.10189,0.09308,0.04762,0.01745,0.00337,1.6186,4.8523,4.05735,1.87371,0.0011288,0.0011288,0.0011288
46,470.854,1.32161,2.73687,2.3323,1.39433,0.16525,0.33333,0.19563,0.09123,0.07215,0.28571,0.03674,0.00565,1.59983,4.93712,3.4273,1.84756,0.001109,0.001109,0.001109
47,480.688,1.23485,2.66323,1.92149,1.299,0.21171,0.46065,0.22457,0.12224,0.05879,0.19048,0.02713,0.00531,1.49703,4.19984,2.7772,1.74933,0.0010892,0.0010892,0.0010892
48,490.647,1.20857,2.44472,1.69208,1.3114,0.27759,0.61905,0.31606,0.18799,0.12195,0.2381,0.05554,0.0126,1.40991,4.46469,2.41291,1.75164,0.0010694,0.0010694,0.0010694
49,500.759,1.19451,2.57417,2.11773,1.32144,0.27759,0.61905,0.31606,0.18799,0.12195,0.2381,0.05554,0.0126,1.40991,4.46469,2.41291,1.75164,0.0010496,0.0010496,0.0010496
50,510.626,1.1653,2.27295,1.85269,1.3404,0.21278,0.57143,0.26924,0.15319,0.14649,0.29438,0.06939,0.01643,1.30816,4.53944,2.2557,1.77383,0.0010298,0.0010298,0.0010298
51,520.573,1.08371,2.29988,2.07685,1.21675,0.19492,0.42857,0.23359,0.11342,0.10229,0.30403,0.05993,0.01659,1.35767,4.43986,2.42075,1.85427,0.00101,0.00101,0.00101
52,530.553,1.23015,2.31347,1.97767,1.32742,0.31147,0.28571,0.29819,0.14014,0.11982,0.2381,0.07859,0.02665,1.50501,4.66234,2.34897,2.11679,0.0009902,0.0009902,0.0009902
53,540.46,1.22905,2.27555,2.11779,1.38016,0.31147,0.28571,0.29819,0.14014,0.11982,0.2381,0.07859,0.02665,1.50501,4.66234,2.34897,2.11679,0.0009704,0.0009704,0.0009704
54,550.368,1.12369,2.22609,1.5779,1.28197,0.35956,0.38095,0.31309,0.14155,0.15551,0.19048,0.12329,0.02918,1.52371,4.65896,2.35145,2.14893,0.0009506,0.0009506,0.0009506
55,560.664,1.23122,2.90908,1.93256,1.3578,0.43169,0.47046,0.33253,0.16138,0.22092,0.2381,0.1119,0.02555,1.5567,4.69585,2.27967,2.23063,0.0009308,0.0009308,0.0009308
56,570.629,1.20986,2.12803,1.75098,1.36752,0.46398,0.61832,0.3658,0.18206,0.24052,0.33333,0.12576,0.02791,1.3683,4.70534,2.05044,1.95825,0.000911,0.000911,0.000911
57,580.667,1.21545,2.69963,1.85059,1.38849,0.46398,0.61832,0.3658,0.18206,0.24052,0.33333,0.12576,0.02791,1.3683,4.70534,2.05044,1.95825,0.0008912,0.0008912,0.0008912
58,591.082,1.21283,2.41382,1.93461,1.3832,0.36521,0.57143,0.37893,0.18709,0.15068,0.33333,0.07595,0.02502,1.26708,4.50117,2.0938,1.73729,0.0008714,0.0008714,0.0008714
59,601.014,0.99251,1.87146,1.59427,1.23549,0.29768,0.78736,0.32507,0.17739,0.25834,0.33333,0.16816,0.04494,1.25025,4.06235,2.14605,1.62333,0.0008516,0.0008516,0.0008516
60,611.023,1.24069,2.2698,1.67654,1.32325,0.32402,0.47619,0.32049,0.19888,0.19584,0.28571,0.14231,0.03849,1.22271,4.55745,2.14214,1.54336,0.0008318,0.0008318,0.0008318
61,621.019,1.08688,1.94909,1.70346,1.16651,0.32402,0.47619,0.32049,0.19888,0.19584,0.28571,0.14231,0.03849,1.22271,4.55745,2.14214,1.54336,0.000812,0.000812,0.000812
62,631.009,1.05781,1.73461,1.81692,1.2284,0.3607,0.47619,0.3041,0.20603,0.26731,0.19048,0.1381,0.02956,1.15384,4.33857,2.1789,1.50732,0.0007922,0.0007922,0.0007922
63,640.967,1.01266,1.62209,1.72827,1.21833,0.41026,0.42857,0.28353,0.19355,0.17381,0.19048,0.06264,0.01429,1.15101,4.34423,2.23503,1.52049,0.0007724,0.0007724,0.0007724
64,650.879,1.09535,2.29827,2.03356,1.29763,0.3565,0.36973,0.239,0.13267,0.12108,0.19048,0.06922,0.01411,1.25196,4.71643,2.38909,1.69182,0.0007526,0.0007526,0.0007526
65,660.767,1.35987,2.7015,2.94283,1.41111,0.3565,0.36973,0.239,0.13267,0.12108,0.19048,0.06922,0.01411,1.25196,4.71643,2.38909,1.69182,0.0007328,0.0007328,0.0007328
66,670.755,1.02205,1.9573,1.68419,1.21366,0.30234,0.42857,0.24505,0.13185,0.0894,0.14286,0.04088,0.01425,1.48523,5.22559,2.44311,2.02819,0.000713,0.000713,0.000713
67,680.93,0.87595,1.43158,1.71282,1.13389,0.35623,0.52381,0.32408,0.17158,0.16471,0.28571,0.07238,0.02397,1.42588,5.29234,2.21867,2.07553,0.0006932,0.0006932,0.0006932
68,690.978,0.94571,1.98196,1.48749,1.15493,0.36403,0.57143,0.3426,0.18116,0.20111,0.28571,0.1172,0.05139,1.44664,4.72425,2.07926,2.04664,0.0006734,0.0006734,0.0006734
69,700.929,1.02231,1.75918,1.69344,1.17452,0.36403,0.57143,0.3426,0.18116,0.20111,0.28571,0.1172,0.05139,1.44664,4.72425,2.07926,2.04664,0.0006536,0.0006536,0.0006536
70,710.971,0.99156,1.88574,1.73608,1.28828,0.33592,0.66667,0.36667,0.18026,0.33928,0.33333,0.21102,0.07217,1.4534,4.38745,2.11244,1.96251,0.0006338,0.0006338,0.0006338
71,720.931,1.0323,1.8296,1.72197,1.16994,0.31021,0.71429,0.36127,0.18213,0.31422,0.33333,0.2297,0.07543,1.38797,3.69757,2.16493,1.84625,0.000614,0.000614,0.000614
72,730.778,1.03198,1.96261,1.63977,1.21958,0.33975,0.52381,0.34937,0.20855,0.33219,0.38095,0.24112,0.09378,1.27353,3.26839,2.13243,1.661,0.0005942,0.0005942,0.0005942
73,740.896,1.02083,2.02441,1.74223,1.20885,0.33975,0.52381,0.34937,0.20855,0.33219,0.38095,0.24112,0.09378,1.27353,3.26839,2.13243,1.661,0.0005744,0.0005744,0.0005744
74,750.845,0.8716,1.43336,1.50359,1.10876,0.30721,0.66667,0.3646,0.23394,0.33243,0.28571,0.19727,0.08955,1.11729,3.13547,2.04311,1.47598,0.0005546,0.0005546,0.0005546
75,760.834,1.06542,1.86674,1.79547,1.26002,0.34408,0.66667,0.39186,0.25777,0.24042,0.39213,0.19868,0.08538,1.06469,2.92687,1.9481,1.41562,0.0005348,0.0005348,0.0005348
76,770.747,1.12538,2.28278,1.85294,1.30231,0.38418,0.65383,0.404,0.27687,0.2863,0.38208,0.21916,0.0764,1.0626,2.73256,1.89928,1.38249,0.000515,0.000515,0.000515
77,781.102,1.00432,1.66261,1.60876,1.17052,0.38418,0.65383,0.404,0.27687,0.2863,0.38208,0.21916,0.0764,1.0626,2.73256,1.89928,1.38249,0.0004952,0.0004952,0.0004952
78,792.756,0.95502,1.83188,1.69574,1.17418,0.31852,0.61905,0.3994,0.25429,0.18106,0.19048,0.12777,0.05086,1.04639,2.71788,1.8906,1.3558,0.0004754,0.0004754,0.0004754
79,804.386,0.86024,1.71281,2.63184,1.09408,0.32873,0.61905,0.38808,0.24983,0.26093,0.28571,0.17703,0.06733,1.0314,2.68917,1.91486,1.34578,0.0004556,0.0004556,0.0004556
80,814.683,0.95472,1.73882,1.47831,1.15721,0.37212,0.61905,0.36946,0.25457,0.37446,0.42762,0.19916,0.06234,1.04367,2.67825,1.98913,1.35161,0.0004358,0.0004358,0.0004358
81,824.832,0.8736,1.7628,1.55056,1.21364,0.37212,0.61905,0.36946,0.25457,0.37446,0.42762,0.19916,0.06234,1.04367,2.67825,1.98913,1.35161,0.000416,0.000416,0.000416
82,834.937,0.77086,1.37071,1.67021,1.08869,0.38863,0.66667,0.38003,0.24814,0.27172,0.38095,0.17277,0.04953,1.05584,2.67711,2.06611,1.35063,0.0003962,0.0003962,0.0003962
83,845.218,0.95841,1.69287,1.63149,1.24717,0.38694,0.61905,0.36525,0.22598,0.30246,0.47619,0.19659,0.05595,1.07265,2.73606,2.09668,1.36282,0.0003764,0.0003764,0.0003764
84,855.458,0.92682,1.91289,1.91079,1.14953,0.38755,0.61905,0.37078,0.22408,0.28706,0.42857,0.1781,0.0635,1.09627,2.76615,2.1356,1.36279,0.0003566,0.0003566,0.0003566
85,866.398,0.89916,1.63439,1.45721,1.13194,0.38755,0.61905,0.37078,0.22408,0.28706,0.42857,0.1781,0.0635,1.09627,2.76615,2.1356,1.36279,0.0003368,0.0003368,0.0003368
86,878.104,0.91022,1.95342,1.55393,1.13258,0.40909,0.52759,0.38586,0.23572,0.30221,0.33333,0.19169,0.06481,1.13562,2.8329,2.16234,1.39115,0.000317,0.000317,0.000317
87,890.048,0.90034,1.65306,1.45065,1.12368,0.49444,0.55925,0.40611,0.25508,0.30956,0.28571,0.21594,0.06899,1.1625,2.83841,2.15241,1.39656,0.0002972,0.0002972,0.0002972
88,901.954,0.888,1.60347,1.5428,1.22739,0.44117,0.45168,0.38902,0.24128,0.38492,0.42857,0.25222,0.08291,1.13776,2.72984,2.12631,1.35216,0.0002774,0.0002774,0.0002774
89,911.913,0.95066,1.86363,1.47942,1.19226,0.44117,0.45168,0.38902,0.24128,0.38492,0.42857,0.25222,0.08291,1.13776,2.72984,2.12631,1.35216,0.0002576,0.0002576,0.0002576
90,922.098,0.90775,1.30924,1.58355,1.12962,0.5276,0.42857,0.39218,0.26907,0.39859,0.38095,0.234,0.09247,1.07626,2.7102,2.07189,1.30082,0.0002378,0.0002378,0.0002378
91,932.477,1.10722,2.36774,3.22583,1.5339,0.45178,0.42857,0.42006,0.28977,0.41315,0.38095,0.26565,0.09238,1.02725,2.73584,2.00075,1.2653,0.000218,0.000218,0.000218
92,942.74,0.80479,1.11267,2.09334,1.25544,0.42055,0.57143,0.42026,0.30094,0.40401,0.38095,0.23858,0.08475,0.98439,2.86382,1.9636,1.24384,0.0001982,0.0001982,0.0001982
93,952.823,0.72405,1.18476,1.97745,1.16337,0.42055,0.57143,0.42026,0.30094,0.40401,0.38095,0.23858,0.08475,0.98439,2.86382,1.9636,1.24384,0.0001784,0.0001784,0.0001784
94,962.925,0.83616,1.29915,3.48286,1.21633,0.45837,0.52381,0.43656,0.32226,0.3656,0.38095,0.23293,0.08678,0.98191,2.87167,1.94717,1.24375,0.0001586,0.0001586,0.0001586
95,973.5,0.82876,1.56389,1.69031,1.20202,0.46955,0.54846,0.444,0.32145,0.42799,0.42857,0.27265,0.07828,0.98696,2.99532,1.95256,1.23913,0.0001388,0.0001388,0.0001388
96,983.813,0.89541,1.70238,1.96546,1.33916,0.45348,0.52381,0.43674,0.31362,0.40285,0.42857,0.28189,0.07919,0.99931,3.05633,1.96024,1.25712,0.000119,0.000119,0.000119
97,994.174,0.76769,1.28657,1.6704,1.07997,0.45348,0.52381,0.43674,0.31362,0.40285,0.42857,0.28189,0.07919,0.99931,3.05633,1.96024,1.25712,9.92e-05,9.92e-05,9.92e-05
98,1004.44,0.70897,1.10767,1.56196,1.09508,0.43723,0.47619,0.44132,0.32037,0.42276,0.41888,0.27626,0.0745,1.00673,3.07645,1.94554,1.25844,7.94e-05,7.94e-05,7.94e-05
99,1014.54,0.78201,1.37581,1.69005,1.09988,0.44099,0.47619,0.43404,0.32638,0.35686,0.38095,0.21916,0.05768,1.01903,3.13842,1.95067,1.26139,5.96e-05,5.96e-05,5.96e-05
100,1024.68,0.83823,1.47732,1.80767,1.23322,0.47369,0.51463,0.43512,0.32508,0.35643,0.38095,0.21806,0.05448,1.0147,3.18583,1.95174,1.25521,3.98e-05,3.98e-05,3.98e-05
