epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,323.944,1.36973,2.57882,2.54743,1.46019,0.22072,0.48572,0.2348,0.09861,0.18998,0.04762,0.02101,0.00563,1.54503,5.41195,3.5102,2.28813,0.00126896,0.00126896,0.00126896
31,334.549,1.59749,3.31619,2.97947,1.51873,0.30719,0.35943,0.29296,0.1525,0.22321,0.04762,0.0265,0.00467,1.59091,5.3551,3.35928,2.28701,0.00129352,0.00129352,0.00129352
32,345.331,1.21794,2.587,2.13096,1.42881,0.21818,0.38095,0.17609,0.08956,0.06301,0.28571,0.02224,0.00322,1.65083,5.2619,3.62106,2.21803,0.00131689,0.00131689,0.00131689
33,356.144,1.29682,2.54614,2.3291,1.43828,0.21818,0.38095,0.17609,0.08956,0.06301,0.28571,0.02224,0.00322,1.65083,5.2619,3.62106,2.21803,0.00133907,0.00133907,0.00133907
34,366.867,1.42342,2.75227,3.51722,1.46157,0.4102,0.28571,0.23782,0.11778,0.03039,0.09524,0.00714,0.00114,1.48948,5.36815,3.38835,1.95157,0.0013466,0.0013466,0.0013466
35,377.555,1.2964,2.48688,2.17018,1.38559,0.26846,0.38095,0.21808,0.1173,0.03328,0.09524,0.00639,0.00101,1.70127,6.25211,2.9656,2.37885,0.0013268,0.0013268,0.0013268
36,388.213,1.33768,2.48895,1.99088,1.42647,0.31572,0.46172,0.26059,0.15616,0.13131,0.09524,0.03397,0.00587,1.46505,6.17143,2.94857,1.99637,0.001307,0.001307,0.001307
37,398.817,1.27167,2.60597,2.12534,1.33112,0.31572,0.46172,0.26059,0.15616,0.13131,0.09524,0.03397,0.00587,1.46505,6.17143,2.94857,1.99637,0.0012872,0.0012872,0.0012872
38,409.494,1.28645,2.53964,2.3444,1.47681,0.28427,0.33333,0.18335,0.11864,0.24391,0.28571,0.08618,0.02702,1.35545,4.67569,3.46217,1.7707,0.0012674,0.0012674,0.0012674
39,420.166,1.49251,2.83945,2.81543,1.59327,0.16138,0.42857,0.1713,0.08904,0.09473,0.2381,0.04074,0.01486,1.43609,4.74435,3.67524,1.86496,0.0012476,0.0012476,0.0012476
40,430.858,1.25232,2.63011,2.03368,1.36044,0.18919,0.37785,0.19828,0.10343,0.08329,0.19048,0.03249,0.00984,1.33118,4.52211,3.57746,1.76071,0.0012278,0.0012278,0.0012278
41,441.535,1.23081,2.42127,1.9676,1.37347,0.18919,0.37785,0.19828,0.10343,0.08329,0.19048,0.03249,0.00984,1.33118,4.52211,3.57746,1.76071,0.001208,0.001208,0.001208
42,452.369,1.2408,2.64048,2.1673,1.37518,0.24385,0.47619,0.25077,0.12746,0.09711,0.19048,0.06033,0.01599,1.19414,4.44982,3.73308,1.63155,0.0011882,0.0011882,0.0011882
43,463.08,1.15207,2.13816,1.88691,1.30616,0.1282,0.37125,0.15068,0.07597,0.09168,0.28571,0.05805,0.01311,1.35396,3.82501,4.31721,1.67367,0.0011684,0.0011684,0.0011684
44,473.909,1.2278,2.64812,2.14542,1.33674,0.17515,0.47619,0.1506,0.07404,0.14013,0.33333,0.08355,0.02276,1.41045,3.78307,4.94067,1.75682,0.0011486,0.0011486,0.0011486
45,484.783,1.20954,1.9768,2.24918,1.31249,0.17515,0.47619,0.1506,0.07404,0.14013,0.33333,0.08355,0.02276,1.41045,3.78307,4.94067,1.75682,0.0011288,0.0011288,0.0011288
46,495.657,1.26914,2.75188,2.35902,1.41669,0.16453,0.52381,0.15209,0.06334,0.20645,0.19048,0.09442,0.02765,1.57518,4.37721,5.30176,1.99151,0.001109,0.001109,0.001109
47,506.35,1.30417,2.79195,1.98076,1.34918,0.16713,0.28571,0.15059,0.06811,0.13638,0.19048,0.07554,0.02519,1.60046,4.49344,5.11839,2.02311,0.0010892,0.0010892,0.0010892
48,517.043,1.18336,2.23745,1.64911,1.2971,0.17349,0.2381,0.14099,0.06939,0.24811,0.19048,0.07695,0.02798,1.64486,5.31817,5.24386,2.09188,0.0010694,0.0010694,0.0010694
49,527.698,1.11999,2.45674,2.06724,1.29729,0.17349,0.2381,0.14099,0.06939,0.24811,0.19048,0.07695,0.02798,1.64486,5.31817,5.24386,2.09188,0.0010496,0.0010496,0.0010496
50,538.291,1.15313,2.37378,1.85281,1.31233,0.13824,0.38095,0.16945,0.09443,0.18616,0.14286,0.06416,0.02433,1.54885,5.59103,3.31159,1.94592,0.0010298,0.0010298,0.0010298
51,549.121,1.12782,2.39496,2.06425,1.23069,0.23848,0.53705,0.23509,0.15411,0.19273,0.2381,0.09297,0.03652,1.18725,4.55674,2.49995,1.57639,0.00101,0.00101,0.00101
52,560.117,1.1483,2.35483,1.95411,1.28628,0.2206,0.47619,0.27331,0.1853,0.26308,0.14286,0.1387,0.0507,1.03217,4.23996,2.28747,1.38184,0.0009902,0.0009902,0.0009902
